University,year,Rank,Score
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2013,788.0,9.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2014,583.0,20.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2015,574.0,22.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2016,724.0,13.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO 13,2017,675.0,6.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2013,637.0,15.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2014,655.0,15.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2015,669.0,15.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2016,680.0,15.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC    15,2017,636.0,7.0
ACADIA UNIVERSITY,2011,874.0,4.0
ACADIA UNIVERSITY,2012,943.0,4.0
ACADIA UNIVERSITY,2013,1016.0,4.0
ADAM MICKIEWICZ UNIVERSITY POZNAN,2011,1226.0,1.0
ADAM MICKIEWICZ UNIVERSITY POZNAN,2012,1263.0,1.0
ADELPHI UNIVERSITY,2011,1186.0,1.0
ADELPHI UNIVERSITY,2012,1209.0,1.0
ADELPHI UNIVERSITY,2013,1282.0,1.0
ADELPHI UNIVERSITY,2014,1293.0,1.0
ADNAN MENDERES UNIVERSITY,2011,1318.0,1.0
ADNAN MENDERES UNIVERSITY,2012,1361.0,1.0
ADNAN MENDERES UNIVERSITY,2013,1439.0,1.0
ADNAN MENDERES UNIVERSITY,2014,1444.0,1.0
ADOLFO IBANEZ UNIVERSITY,2011,616.0,13.0
ADOLFO IBANEZ UNIVERSITY,2012,587.0,16.0
ADOLFO IBANEZ UNIVERSITY,2013,697.0,12.0
ADOLFO IBANEZ UNIVERSITY,2014,686.0,13.0
ADOLFO IBANEZ UNIVERSITY,2015,615.0,19.0
ADOLFO IBANEZ UNIVERSITY,2016,670.0,16.0
ADOLFO IBANEZ UNIVERSITY   12,2017,687.0,6.0
AGA KHAN UNIVERSITY,2012,1226.0,1.0
AGA KHAN UNIVERSITY,2013,1293.0,1.0
AGA KHAN UNIVERSITY,2014,1306.0,1.0
AGA KHAN UNIVERSITY,2015,1333.0,1.0
AGA KHAN UNIVERSITY,2016,1328.0,1.0
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,2011,1115.0,2.0
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,2013,1242.0,1.0
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,2014,1251.0,1.0
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,2015,1282.0,1.0
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,2016,1272.0,1.0
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY 1,2017,1213.0,
AGRICULTURAL UNIVERSITY OF ATHENS,2011,1335.0,1.0
AGRICULTURAL UNIVERSITY OF ATHENS,2012,1377.0,1.0
AGRICULTURAL UNIVERSITY OF ATHENS,2015,1313.0,1.0
AGRICULTURAL UNIVERSITY OF ATHENS,2016,1230.0,2.0
AGRICULTURAL UNIVERSITY OF ATHENS    2,2017,1175.0,
AICHI GAKUIN UNIVERSITY,2011,1351.0,0.0
AICHI GAKUIN UNIVERSITY,2012,1254.0,1.0
AICHI GAKUIN UNIVERSITY,2013,1321.0,1.0
AICHI GAKUIN UNIVERSITY,2014,1431.0,1.0
AICHI GAKUIN UNIVERSITY,2015,1441.0,1.0
AICHI GAKUIN UNIVERSITY,2016,1444.0,1.0
AICHI UNIVERSITY OF EDUCATION,2011,1065.0,2.0
AICHI UNIVERSITY OF EDUCATION,2012,949.0,3.0
AICHI UNIVERSITY OF EDUCATION,2013,1025.0,3.0
AICHI UNIVERSITY OF EDUCATION,2014,1048.0,3.0
AICHI UNIVERSITY OF EDUCATION,2015,1062.0,3.0
AICHI UNIVERSITY OF EDUCATION,2016,1018.0,4.0
AICHI UNIVERSITY OF EDUCATION   3,2017,1057.0,1.0
AIX MARSEILLE UNIVERSITY,2011,599.0,14.0
AIX MARSEILLE UNIVERSITY,2012,364.0,41.0
AIX MARSEILLE UNIVERSITY,2013,270.0,81.0
AIX MARSEILLE UNIVERSITY,2014,177.0,150.0
AIX MARSEILLE UNIVERSITY,2015,156.0,195.0
AIX MARSEILLE UNIVERSITY,2016,137.0,250.0
AIX MARSEILLE UNIVERSITY 223,2017,128.0,127.0
AJOU UNIVERSITY,2011,1037.0,2.0
AJOU UNIVERSITY,2012,855.0,5.0
AJOU UNIVERSITY,2013,882.0,6.0
AJOU UNIVERSITY,2014,951.0,5.0
AJOU UNIVERSITY,2015,874.0,7.0
AJOU UNIVERSITY,2016,862.0,8.0
AJOU UNIVERSITY 4,2017,936.0,2.0
AKITA INTERNATIONAL UNIVERSITY,2013,979.0,4.0
AKITA INTERNATIONAL UNIVERSITY,2014,989.0,4.0
AKITA INTERNATIONAL UNIVERSITY,2015,1007.0,4.0
AKITA INTERNATIONAL UNIVERSITY,2016,1004.0,4.0
AKITA INTERNATIONAL UNIVERSITY  4,2017,948.0,2.0
AL AKHAWAYN UNIVERSITY,2011,1276.0,1.0
AL AKHAWAYN UNIVERSITY,2012,1309.0,1.0
AL AKHAWAYN UNIVERSITY,2013,1378.0,1.0
AL AKHAWAYN UNIVERSITY,2014,1379.0,1.0
AL AZHAR UNIVERSITY,2014,1222.0,2.0
AL AZHAR UNIVERSITY,2015,1249.0,2.0
AL AZHAR UNIVERSITY,2016,1246.0,2.0
AL AZHAR UNIVERSITY   2,2017,1188.0,
ALABAMA A AND M UNIVERSITY,2011,1276.0,1.0
ALABAMA A AND M UNIVERSITY,2012,1309.0,1.0
ALABAMA A AND M UNIVERSITY,2013,1378.0,1.0
ALABAMA A AND M UNIVERSITY,2014,1379.0,1.0
ALBA ACADEMIE LIBANAISE DES BEAUX-ARTS,2011,1117.0,2.0
ALBA ACADEMIE LIBANAISE DES BEAUX-ARTS,2012,702.0,10.0
ALBA ACADEMIE LIBANAISE DES BEAUX-ARTS,2013,746.0,10.0
ALBA ACADEMIE LIBANAISE DES BEAUX-ARTS,2014,722.0,11.0
ALBA ACADEMIE LIBANAISE DES BEAUX-ARTS,2015,762.0,10.0
ALBA ACADEMIE LIBANAISE DES BEAUX-ARTS,2016,800.0,10.0
ALBA ACADEMIE LIBANAISE DES BEAUX-ARTS    1,2017,1346.0,
ALBERTO HURTADO UNIVERSITY,2011,1047.0,2.0
ALBERTO HURTADO UNIVERSITY,2012,1065.0,2.0
ALBERTO HURTADO UNIVERSITY,2013,970.0,4.0
ALBERTO HURTADO UNIVERSITY,2014,980.0,4.0
ALBERTO HURTADO UNIVERSITY,2015,936.0,6.0
ALBERTO HURTADO UNIVERSITY,2016,898.0,7.0
ALBERTO HURTADO UNIVERSITY 7,2017,849.0,3.0
ALBION COLLEGE,2011,1108.0,2.0
ALBION COLLEGE,2012,1135.0,2.0
ALBION COLLEGE,2013,1398.0,1.0
ALBION COLLEGE,2014,1405.0,1.0
ALETHEIA UNIVERSITY,2011,1094.0,2.0
ALETHEIA UNIVERSITY,2012,950.0,3.0
ALETHEIA UNIVERSITY,2013,1022.0,3.0
ALETHEIA UNIVERSITY,2014,1041.0,3.0
ALETHEIA UNIVERSITY,2015,1240.0,2.0
ALETHEIA UNIVERSITY,2016,1237.0,2.0
ALEXANDRU IOAN CUZA UNIVERSITY,2011,635.0,12.0
ALEXANDRU IOAN CUZA UNIVERSITY,2012,637.0,13.0
ALEXANDRU IOAN CUZA UNIVERSITY,2013,692.0,13.0
ALEXANDRU IOAN CUZA UNIVERSITY,2014,741.0,10.0
ALEXANDRU IOAN CUZA UNIVERSITY,2015,807.0,9.0
ALEXANDRU IOAN CUZA UNIVERSITY,2016,755.0,12.0
ALEXANDRU IOAN CUZA UNIVERSITY  9,2017,768.0,4.0
ALLEGHENY COLLEGE,2011,1238.0,1.0
ALLEGHENY COLLEGE,2012,1275.0,1.0
ALLEGHENY COLLEGE,2013,1342.0,1.0
AMERICAN UNIVERSITY BEIRUT,2011,912.0,4.0
AMERICAN UNIVERSITY BEIRUT,2012,929.0,4.0
AMERICAN UNIVERSITY BEIRUT,2013,1200.0,2.0
AMERICAN UNIVERSITY BEIRUT,2014,1207.0,2.0
AMERICAN UNIVERSITY BEIRUT,2015,1173.0,2.0
AMERICAN UNIVERSITY BEIRUT,2016,1458.0,1.0
AMERICAN UNIVERSITY BEIRUT    1,2017,1380.0,
AMERICAN UNIVERSITY BULGARIA,2011,1010.0,3.0
AMERICAN UNIVERSITY BULGARIA,2012,983.0,3.0
AMERICAN UNIVERSITY BULGARIA,2013,1048.0,3.0
AMERICAN UNIVERSITY BULGARIA,2014,1077.0,3.0
AMERICAN UNIVERSITY BULGARIA,2015,1091.0,3.0
AMERICAN UNIVERSITY BULGARIA,2016,1444.0,1.0
AMERICAN UNIVERSITY CAIRO,2011,951.0,3.0
AMERICAN UNIVERSITY CAIRO,2012,969.0,3.0
AMERICAN UNIVERSITY CAIRO,2013,751.0,10.0
AMERICAN UNIVERSITY CAIRO,2014,715.0,12.0
AMERICAN UNIVERSITY CAIRO,2015,728.0,12.0
AMERICAN UNIVERSITY CAIRO,2016,761.0,11.0
AMERICAN UNIVERSITY CAIRO 11,2017,701.0,6.0
AMERICAN UNIVERSITY DUBAI,2011,751.0,8.0
AMERICAN UNIVERSITY DUBAI,2012,767.0,8.0
AMERICAN UNIVERSITY DUBAI,2013,818.0,8.0
AMERICAN UNIVERSITY DUBAI,2014,878.0,7.0
AMERICAN UNIVERSITY OF AFGHANISTAN,2014,855.0,7.0
AMERICAN UNIVERSITY OF AFGHANISTAN,2015,868.0,7.0
AMERICAN UNIVERSITY OF AFGHANISTAN,2016,879.0,7.0
AMERICAN UNIVERSITY OF AFGHANISTAN    7,2017,830.0,3.0
AMERICAN UNIVERSITY PARIS,2011,1303.0,1.0
AMERICAN UNIVERSITY PARIS,2012,1333.0,1.0
AMERICAN UNIVERSITY PARIS,2013,1198.0,2.0
AMERICAN UNIVERSITY PARIS,2014,1206.0,2.0
AMERICAN UNIVERSITY PARIS,2015,1370.0,1.0
AMERICAN UNIVERSITY PARIS,2016,1375.0,1.0
AMERICAN UNIVERSITY PARIS    1,2017,1313.0,
AMERICAN UNIVERSITY SHARJAH,2011,580.0,15.0
AMERICAN UNIVERSITY SHARJAH,2012,576.0,16.0
AMERICAN UNIVERSITY SHARJAH,2013,568.0,20.0
AMERICAN UNIVERSITY SHARJAH,2014,534.0,23.0
AMERICAN UNIVERSITY SHARJAH,2015,580.0,21.0
AMERICAN UNIVERSITY SHARJAH,2016,593.0,21.0
AMERICAN UNIVERSITY SHARJAH  19,2017,566.0,10.0
AMERICAN UNIVERSITY WASHINGTON,2011,223.0,85.0
AMERICAN UNIVERSITY WASHINGTON,2012,233.0,91.0
AMERICAN UNIVERSITY WASHINGTON,2013,296.0,71.0
AMERICAN UNIVERSITY WASHINGTON,2014,384.0,48.0
AMERICAN UNIVERSITY WASHINGTON,2015,469.0,35.0
AMERICAN UNIVERSITY WASHINGTON,2016,589.0,21.0
AMERICAN UNIVERSITY WASHINGTON 3,2017,1037.0,1.0
AMHERST COLLEGE,2011,371.0,37.0
AMHERST COLLEGE,2012,449.0,28.0
AMHERST COLLEGE,2013,463.0,32.0
AMHERST COLLEGE,2014,525.0,24.0
AMHERST COLLEGE,2015,598.0,20.0
AMHERST COLLEGE,2016,531.0,27.0
AMHERST COLLEGE    27,2017,490.0,13.0
AMIRKABIR UNIVERSITY,2011,1142.0,1.0
AMIRKABIR UNIVERSITY,2012,1168.0,1.0
AMIRKABIR UNIVERSITY,2013,1250.0,1.0
AMUR STATE UNIVERSITY,2015,1369.0,1.0
AMUR STATE UNIVERSITY,2016,1374.0,1.0
AMUR STATE UNIVERSITY    1,2017,1311.0,
ANDONG NATIONAL UNIVERSITY,2011,1257.0,1.0
ANDRES BELLO NATIONAL UNIVERSITY,2014,1220.0,2.0
ANDRES BELLO NATIONAL UNIVERSITY,2015,1103.0,3.0
ANDRES BELLO NATIONAL UNIVERSITY,2016,1105.0,3.0
ANDRES BELLO NATIONAL UNIVERSITY   3,2017,1045.0,1.0
ANGLIA RUSKIN UNIVERSITY,2013,1029.0,3.0
ANGLIA RUSKIN UNIVERSITY,2014,1054.0,3.0
ANGLIA RUSKIN UNIVERSITY,2015,1069.0,3.0
ANGLIA RUSKIN UNIVERSITY,2016,1071.0,3.0
ANGLIA RUSKIN UNIVERSITY 3,2017,1019.0,1.0
ANGLO AMERICAN UNIVERSITY,2011,1123.0,2.0
ANGLO AMERICAN UNIVERSITY,2012,1147.0,2.0
ANGLO AMERICAN UNIVERSITY,2013,1220.0,2.0
ANGLO AMERICAN UNIVERSITY,2014,1373.0,1.0
ANGLO AMERICAN UNIVERSITY,2015,1254.0,2.0
ANGLO AMERICAN UNIVERSITY,2016,1413.0,1.0
ANGLO AMERICAN UNIVERSITY    1,2017,1343.0,
ANKARA UNIVERSITY,2011,1024.0,2.0
ANKARA UNIVERSITY,2012,1186.0,1.0
ANKARA UNIVERSITY,2013,1398.0,1.0
ANKARA UNIVERSITY,2014,1405.0,1.0
ANTALYA INTERNATIONAL UNIVERSITY,2013,1107.0,2.0
ANTALYA INTERNATIONAL UNIVERSITY,2014,1134.0,2.0
ANTALYA INTERNATIONAL UNIVERSITY,2015,1155.0,2.0
ANTALYA INTERNATIONAL UNIVERSITY,2016,1153.0,2.0
ANTALYA INTERNATIONAL UNIVERSITY 2,2017,1102.0,1.0
AOMORI PUBLIC UNIVERSITY,2016,1442.0,1.0
AOMORI PUBLIC UNIVERSITY    1,2017,1377.0,
AOYAMA GAKUIN UNIVERSITY,2011,804.0,6.0
AOYAMA GAKUIN UNIVERSITY,2012,988.0,3.0
AOYAMA GAKUIN UNIVERSITY,2013,1155.0,2.0
AOYAMA GAKUIN UNIVERSITY,2014,1379.0,1.0
AOYAMA GAKUIN UNIVERSITY,2015,1032.0,4.0
AOYAMA GAKUIN UNIVERSITY,2016,1037.0,4.0
AOYAMA GAKUIN UNIVERSITY    4,2017,981.0,1.0
APPALACHIAN STATE UNIVERSITY,2011,411.0,31.0
APPALACHIAN STATE UNIVERSITY,2012,439.0,30.0
APPALACHIAN STATE UNIVERSITY,2013,493.0,28.0
APPALACHIAN STATE UNIVERSITY,2014,519.0,25.0
APPALACHIAN STATE UNIVERSITY,2015,508.0,29.0
APPALACHIAN STATE UNIVERSITY,2016,597.0,20.0
APPALACHIAN STATE UNIVERSITY   20,2017,554.0,10.0
ARIEL UNIVERSITY SAMARIA,2011,984.0,3.0
ARIEL UNIVERSITY SAMARIA,2012,1000.0,3.0
ARIEL UNIVERSITY SAMARIA,2013,1061.0,3.0
ARIEL UNIVERSITY SAMARIA,2014,1388.0,1.0
ARIEL UNIVERSITY SAMARIA,2015,1211.0,2.0
ARIEL UNIVERSITY SAMARIA,2016,1349.0,1.0
ARIEL UNIVERSITY SAMARIA   1,2017,1280.0,
ARISTOTLE UNIVERSITY THESSALONIKI,2015,1278.0,1.0
ARISTOTLE UNIVERSITY THESSALONIKI,2016,1197.0,2.0
ARISTOTLE UNIVERSITY THESSALONIKI    2,2017,1142.0,
ARIZONA STATE UNIVERSITY,2011,53.0,409.0
ARIZONA STATE UNIVERSITY,2012,50.0,466.0
ARIZONA STATE UNIVERSITY,2013,51.0,520.0
ARIZONA STATE UNIVERSITY,2014,48.0,545.0
ARIZONA STATE UNIVERSITY,2015,47.0,570.0
ARIZONA STATE UNIVERSITY,2016,52.0,601.0
ARIZONA STATE UNIVERSITY   506,2017,50.0,317.0
ARKANSAS STATE UNIVERSITY,2011,1085.0,2.0
ARKANSAS STATE UNIVERSITY,2012,1110.0,2.0
ARKANSAS STATE UNIVERSITY,2014,1272.0,1.0
ARKANSAS STATE UNIVERSITY,2015,1135.0,2.0
ARKANSAS STATE UNIVERSITY,2016,1138.0,2.0
ARKANSAS STATE UNIVERSITY  2,2017,1084.0,1.0
ARKANSAS TECH UNIVERSITY,2013,1288.0,1.0
ARKANSAS TECH UNIVERSITY,2014,1300.0,1.0
ARKANSAS TECH UNIVERSITY,2015,1329.0,1.0
ARKANSAS TECH UNIVERSITY,2016,1323.0,1.0
ARKANSAS TECH UNIVERSITY   1,2017,1264.0,
ARMSTRONG ATLANTIC STATE UNIVERSITY,2011,1362.0,0.0
ARMSTRONG ATLANTIC STATE UNIVERSITY,2012,1394.0,0.0
ASHOKA UNIVERSITY,2015,1256.0,2.0
ASHOKA UNIVERSITY,2016,1252.0,2.0
ASHOKA UNIVERSITY   2,2017,1194.0,
ASIA E UNIVERSITY,2011,1335.0,1.0
ASIA E UNIVERSITY,2012,1377.0,1.0
ASIA UNIVERSITY,2011,1353.0,0.0
ASIA UNIVERSITY,2016,1184.0,2.0
ASIA UNIVERSITY 2,2017,1130.0,1.0
ASTON UNIVERSITY,2011,453.0,26.0
ASTON UNIVERSITY,2012,429.0,31.0
ASTON UNIVERSITY,2013,505.0,27.0
ASTON UNIVERSITY,2014,518.0,25.0
ASTON UNIVERSITY,2015,515.0,27.0
ASTON UNIVERSITY,2016,569.0,22.0
ASTON UNIVERSITY 17,2017,609.0,8.0
ATHABASCA UNIVERSITY,2011,1325.0,1.0
ATHABASCA UNIVERSITY,2012,1367.0,1.0
ATHABASCA UNIVERSITY,2013,1231.0,2.0
ATHABASCA UNIVERSITY,2014,1242.0,2.0
ATHABASCA UNIVERSITY,2015,1266.0,2.0
ATHABASCA UNIVERSITY,2016,1364.0,1.0
ATHABASCA UNIVERSITY  1,2017,1300.0,
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,2011,245.0,74.0
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,2012,227.0,93.0
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,2013,225.0,106.0
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,2014,222.0,116.0
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,2015,221.0,122.0
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,2016,239.0,116.0
ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS  79,2017,267.0,47.0
ATILIM UNIVERSITY,2012,1342.0,1.0
ATILIM UNIVERSITY,2013,1426.0,1.0
ATILIM UNIVERSITY,2014,1431.0,1.0
ATILIM UNIVERSITY,2015,1441.0,1.0
ATILIM UNIVERSITY,2016,1444.0,1.0
AUBURN UNIVERSITY,2011,389.0,35.0
AUBURN UNIVERSITY,2012,332.0,49.0
AUBURN UNIVERSITY,2013,324.0,60.0
AUBURN UNIVERSITY,2014,357.0,54.0
AUBURN UNIVERSITY,2015,329.0,67.0
AUBURN UNIVERSITY,2016,349.0,63.0
AUBURN UNIVERSITY  47,2017,376.0,24.0
AUCKLAND UNIVERSITY OF TECHNOLOGY,2011,657.0,11.0
AUCKLAND UNIVERSITY OF TECHNOLOGY,2012,659.0,12.0
AUCKLAND UNIVERSITY OF TECHNOLOGY,2013,748.0,10.0
AUCKLAND UNIVERSITY OF TECHNOLOGY,2014,764.0,10.0
AUCKLAND UNIVERSITY OF TECHNOLOGY,2015,834.0,8.0
AUCKLAND UNIVERSITY OF TECHNOLOGY,2016,615.0,19.0
AUCKLAND UNIVERSITY OF TECHNOLOGY    17,2017,594.0,9.0
AUGUSTA UNIVERSITY,2013,1030.0,3.0
AUGUSTA UNIVERSITY,2014,1055.0,3.0
AUGUSTA UNIVERSITY,2015,1070.0,3.0
AUGUSTA UNIVERSITY,2016,1072.0,3.0
AUGUSTA UNIVERSITY 3,2017,1020.0,1.0
AUSTIN PEAY STATE UNIVERSITY,2014,1359.0,1.0
AUSTIN PEAY STATE UNIVERSITY,2015,1386.0,1.0
AUSTIN PEAY STATE UNIVERSITY,2016,1390.0,1.0
AUSTIN PEAY STATE UNIVERSITY   1,2017,1331.0,
AUSTRALIAN CATHOLIC UNIVERSITY,2011,1318.0,1.0
AUSTRALIAN CATHOLIC UNIVERSITY,2012,1361.0,1.0
AUSTRALIAN CATHOLIC UNIVERSITY,2013,1439.0,1.0
AUSTRALIAN CATHOLIC UNIVERSITY,2014,1444.0,1.0
AUSTRALIAN CATHOLIC UNIVERSITY,2016,1124.0,3.0
AUSTRALIAN CATHOLIC UNIVERSITY 3,2017,1071.0,1.0
AUSTRALIAN NATIONAL UNIVERSITY,2011,106.0,220.0
AUSTRALIAN NATIONAL UNIVERSITY,2012,101.0,246.0
AUSTRALIAN NATIONAL UNIVERSITY,2013,97.0,298.0
AUSTRALIAN NATIONAL UNIVERSITY,2014,91.0,315.0
AUSTRALIAN NATIONAL UNIVERSITY,2015,101.0,321.0
AUSTRALIAN NATIONAL UNIVERSITY,2016,99.0,339.0
AUSTRALIAN NATIONAL UNIVERSITY 258,2017,108.0,154.0
AUTONOMOUS UNIVERSITY YUCATAN,2011,1177.0,1.0
AUTONOMOUS UNIVERSITY YUCATAN,2012,1198.0,1.0
AUTONOMOUS UNIVERSITY YUCATAN,2013,1272.0,1.0
AUTONOMOUS UNIVERSITY YUCATAN,2014,1282.0,1.0
AVILA UNIVERSITY,2015,1218.0,2.0
AVILA UNIVERSITY,2016,1213.0,2.0
AVILA UNIVERSITY   2,2017,1157.0,
AZERBAIJAN DIPLOMAT ACADEMY UNIVERSITY,2013,1303.0,1.0
AZERBAIJAN DIPLOMAT ACADEMY UNIVERSITY,2014,1317.0,1.0
AZERBAIJAN DIPLOMAT ACADEMY UNIVERSITY,2015,1343.0,1.0
AZERBAIJAN DIPLOMAT ACADEMY UNIVERSITY,2016,1341.0,1.0
AZUSA PACIFIC UNIVERSITY,2011,1325.0,1.0
AZUSA PACIFIC UNIVERSITY,2012,1367.0,1.0
AZUSA PACIFIC UNIVERSITY,2013,1458.0,1.0
AZUSA PACIFIC UNIVERSITY,2014,1468.0,1.0
AZUSA PACIFIC UNIVERSITY,2015,1480.0,1.0
BABES-BOLYAI UNIVERSITY,2012,1342.0,1.0
BABES-BOLYAI UNIVERSITY,2013,1426.0,1.0
BABES-BOLYAI UNIVERSITY,2014,1431.0,1.0
BABES-BOLYAI UNIVERSITY,2015,1328.0,1.0
BABES-BOLYAI UNIVERSITY,2016,1234.0,2.0
BABES-BOLYAI UNIVERSITY 1,2017,1269.0,
BABSON COLLEGE,2011,436.0,28.0
BABSON COLLEGE,2012,501.0,23.0
BABSON COLLEGE,2013,521.0,23.0
BABSON COLLEGE,2014,615.0,18.0
BABSON COLLEGE,2015,802.0,9.0
BABSON COLLEGE,2016,613.0,19.0
BABSON COLLEGE 19,2017,568.0,10.0
BALL STATE UNIVERSITY,2011,791.0,7.0
BALL STATE UNIVERSITY,2012,750.0,8.0
BALL STATE UNIVERSITY,2013,845.0,7.0
BALL STATE UNIVERSITY,2014,854.0,7.0
BALL STATE UNIVERSITY,2015,814.0,9.0
BALL STATE UNIVERSITY,2016,635.0,18.0
BALL STATE UNIVERSITY  16,2017,623.0,8.0
BANARAS HINDU UNIVERSITY,2011,1219.0,1.0
BANARAS HINDU UNIVERSITY,2012,1256.0,1.0
BANARAS HINDU UNIVERSITY,2013,1323.0,1.0
BANGKOK UNIVERSITY,2015,1415.0,1.0
BANGKOK UNIVERSITY,2016,1413.0,1.0
BANGOR UNIVERSITY,2011,781.0,7.0
BANGOR UNIVERSITY,2012,621.0,14.0
BANGOR UNIVERSITY,2013,537.0,22.0
BANGOR UNIVERSITY,2014,478.0,30.0
BANGOR UNIVERSITY,2015,505.0,29.0
BANGOR UNIVERSITY,2016,474.0,33.0
BANGOR UNIVERSITY    26,2017,499.0,13.0
BAR ILAN UNIVERSITY,2011,209.0,92.0
BAR ILAN UNIVERSITY,2012,220.0,96.0
BAR ILAN UNIVERSITY,2013,266.0,83.0
BAR ILAN UNIVERSITY,2014,263.0,88.0
BAR ILAN UNIVERSITY,2015,270.0,92.0
BAR ILAN UNIVERSITY,2016,261.0,99.0
BAR ILAN UNIVERSITY    84,2017,259.0,49.0
BARCELONA GRADUATE SCHOOL OF ECONOMICS,2011,232.0,79.0
BARCELONA GRADUATE SCHOOL OF ECONOMICS,2012,142.0,172.0
BARCELONA GRADUATE SCHOOL OF ECONOMICS,2013,96.0,298.0
BARCELONA GRADUATE SCHOOL OF ECONOMICS,2014,70.0,430.0
BARCELONA GRADUATE SCHOOL OF ECONOMICS,2015,63.0,496.0
BARCELONA GRADUATE SCHOOL OF ECONOMICS,2016,45.0,657.0
BARCELONA GRADUATE SCHOOL OF ECONOMICS    564,2017,45.0,339.0
BARD COLLEGE,2011,1208.0,1.0
BARD COLLEGE,2012,1078.0,2.0
BARD COLLEGE,2013,996.0,4.0
BARD COLLEGE,2014,1014.0,4.0
BARD COLLEGE,2015,945.0,5.0
BARD COLLEGE,2016,999.0,4.0
BARD COLLEGE   3,2017,1025.0,1.0
BARD COLLEGE BERLIN,2015,1267.0,2.0
BARD COLLEGE BERLIN,2016,1259.0,2.0
BARD COLLEGE BERLIN 2,2017,1204.0,
BARRY UNIVERSITY,2014,1166.0,2.0
BARRY UNIVERSITY,2015,1193.0,2.0
BARRY UNIVERSITY,2016,1181.0,2.0
BARRY UNIVERSITY   2,2017,1127.0,1.0
BATES COLLEGE,2011,746.0,8.0
BATES COLLEGE,2012,765.0,8.0
BATES COLLEGE,2013,689.0,13.0
BATES COLLEGE,2014,705.0,13.0
BATES COLLEGE,2015,664.0,15.0
